feature_name,dtype,missing_percentage,feature_type,initial_decision,reason
V239,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V240,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V241,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V242,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V243,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V244,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V245,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V246,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V247,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V248,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V249,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V250,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V251,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V252,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V253,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V254,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V255,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V256,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V257,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V258,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V259,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V260,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V261,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V262,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V263,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V264,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V265,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V266,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V267,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V268,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V269,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V270,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V271,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V272,float32,76.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V273,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V274,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V275,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V276,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V277,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V278,float32,77.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V279,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V280,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V281,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V282,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V283,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V284,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V285,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V286,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V287,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V288,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V289,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V290,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V291,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V292,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V293,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V294,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V295,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V296,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V297,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V298,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V299,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V300,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V301,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V302,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V303,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V304,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V305,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V306,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V307,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V308,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V309,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V310,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V311,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V312,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V313,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V314,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V315,float32,0.21,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V316,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V317,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V318,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V319,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V320,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V321,float32,0.0,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V322,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V323,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V324,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V325,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V326,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V327,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V328,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V329,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V330,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V331,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V332,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V333,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V334,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V335,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V336,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V337,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V338,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
V339,float32,86.05,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_01,float32,75.58,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_02,float32,76.15,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_03,float32,88.77,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_04,float32,88.77,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_05,float32,76.82,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_06,float32,76.82,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_07,float32,99.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_08,float32,99.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_09,float32,87.31,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_10,float32,87.31,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_11,float32,76.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_12,str,75.58,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_13,float32,78.44,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_14,float32,86.45,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_15,str,76.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_16,str,78.1,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_17,float32,76.4,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_18,float32,92.36,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_19,float32,76.41,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_20,float32,76.42,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_21,float32,99.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_22,float32,99.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_23,str,99.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_24,float32,99.2,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_25,float32,99.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_26,float32,99.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_27,str,99.12,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_28,str,76.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_29,str,76.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_30,str,86.87,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_31,str,76.25,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_32,float32,86.86,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_33,str,87.59,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_34,str,86.82,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_35,str,76.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_36,str,76.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_37,str,76.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
id_38,str,76.13,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
DeviceType,str,76.16,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
DeviceInfo,str,79.91,Numerical,Retain,Numerical feature; LightGBM/XGBoost natively handle missing NaNs
TransactionHour,uint8,0.0,EngineeredTime,Retain,Relative cyclical/trend temporal feature
TransactionDay,uint8,0.0,EngineeredTime,Retain,Relative cyclical/trend temporal feature
TransactionWeek,uint8,0.0,EngineeredTime,Retain,Relative cyclical/trend temporal feature
has_identity,uint8,0.0,EngineeredIndicator,Retain,High-signal structural missingness / identity flag
dist1_isna,uint8,0.0,EngineeredIndicator,Retain,High-signal structural missingness / identity flag
dist2_isna,uint8,0.0,EngineeredIndicator,Retain,High-signal structural missingness / identity flag
D2_isna,uint8,0.0,EngineeredIndicator,Retain,High-signal structural missingness / identity flag
P_emaildomain_isna,uint8,0.0,EngineeredIndicator,Retain,High-signal structural missingness / identity flag
R_emaildomain_isna,uint8,0.0,EngineeredIndicator,Retain,High-signal structural missingness / identity flag
id_01_isna,uint8,0.0,EngineeredIndicator,Retain,High-signal structural missingness / identity flag
id_31_isna,uint8,0.0,EngineeredIndicator,Retain,High-signal structural missingness / identity flag
