feature,risk_level,decision,reason
id_05,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_06,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_07,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_08,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_09,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_10,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_11,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_12,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_13,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_14,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_15,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_16,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_17,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_18,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_19,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_20,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_21,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_22,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_23,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_24,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_25,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_26,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_27,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_28,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_29,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_30,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_31,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_32,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_33,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_34,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_35,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_36,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_37,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
id_38,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
DeviceType,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
DeviceInfo,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
TransactionHour,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
TransactionDay,ZeroLeakage,Retain,Deterministic relative temporal transformation derived solely from current transaction
TransactionWeek,ZeroLeakage,Retain,Deterministic relative temporal transformation derived solely from current transaction
has_identity,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
dist1_isna,ZeroLeakage,Retain,Structural missingness indicator; no label or future data utilized
dist2_isna,ZeroLeakage,Retain,Structural missingness indicator; no label or future data utilized
D2_isna,ZeroLeakage,Retain,Structural missingness indicator; no label or future data utilized
P_emaildomain_isna,ZeroLeakage,Retain,Structural missingness indicator; no label or future data utilized
R_emaildomain_isna,ZeroLeakage,Retain,Structural missingness indicator; no label or future data utilized
id_01_isna,ZeroLeakage,Retain,Structural missingness indicator; no label or future data utilized
id_31_isna,ZeroLeakage,Retain,Structural missingness indicator; no label or future data utilized
TransactionAmt_log,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
TransactionAmt_decimal,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
TransactionAmt_is_round,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
TransactionHour_sin,ZeroLeakage,Retain,Deterministic relative temporal transformation derived solely from current transaction
TransactionHour_cos,ZeroLeakage,Retain,Deterministic relative temporal transformation derived solely from current transaction
device_info_available,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
os_info_available,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
browser_info_available,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
card1_card2,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
card1_card3,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
card1_card5,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
card4_card6,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
email_both_provided,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
email_domain_match,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
addr1_addr2,ZeroLeakage,Retain,Point-in-time transaction and customer hardware attribute
addr1_isna,ZeroLeakage,Retain,Structural missingness indicator; no label or future data utilized
addr2_isna,ZeroLeakage,Retain,Structural missingness indicator; no label or future data utilized
card1_frequency,ZeroLeakage,Retain,Frequency statistics fitted strictly on training partition without label awareness
card1_card2_frequency,ZeroLeakage,Retain,Frequency statistics fitted strictly on training partition without label awareness
addr1_frequency,ZeroLeakage,Retain,Frequency statistics fitted strictly on training partition without label awareness
P_emaildomain_frequency,ZeroLeakage,Retain,Frequency statistics fitted strictly on training partition without label awareness
