feature_name,dtype,feature_type,missing_percentage,unique_count,source_feature,transformation,training_use,reason
V228,float32,Numerical,76.73,55,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V229,float32,Numerical,76.73,91,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V230,float32,Numerical,76.73,66,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V231,float32,Numerical,76.73,52,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V232,float32,Numerical,76.73,57,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V233,float32,Numerical,76.73,52,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V234,float32,Numerical,75.02,121,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V235,float32,Numerical,76.73,16,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V236,float32,Numerical,76.73,29,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V237,float32,Numerical,76.73,17,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V238,float32,Numerical,75.02,19,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V239,float32,Numerical,75.02,19,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V240,float32,Numerical,76.73,6,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V241,float32,Numerical,76.73,5,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V242,float32,Numerical,76.73,21,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V243,float32,Numerical,76.73,43,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V244,float32,Numerical,76.73,23,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V245,float32,Numerical,75.02,51,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V246,float32,Numerical,76.73,46,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V247,float32,Numerical,76.73,13,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V248,float32,Numerical,76.73,16,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V249,float32,Numerical,76.73,16,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V250,float32,Numerical,75.02,15,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V251,float32,Numerical,75.02,15,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V252,float32,Numerical,76.73,19,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V253,float32,Numerical,76.73,61,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V254,float32,Numerical,76.73,39,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V255,float32,Numerical,75.02,36,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V256,float32,Numerical,75.02,42,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V257,float32,Numerical,76.73,49,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V258,float32,Numerical,76.73,67,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V259,float32,Numerical,75.02,64,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V260,float32,Numerical,76.73,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V261,float32,Numerical,76.73,41,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V262,float32,Numerical,76.73,21,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V263,float32,Numerical,76.73,8229,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V264,float32,Numerical,76.73,10620,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V265,float32,Numerical,76.73,9295,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V266,float32,Numerical,76.73,1846,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V267,float32,Numerical,76.73,3032,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V268,float32,Numerical,76.73,2333,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V269,float32,Numerical,76.73,136,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V270,float32,Numerical,75.02,1949,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V271,float32,Numerical,75.02,2326,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V272,float32,Numerical,75.02,2094,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V273,float32,Numerical,76.73,5501,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V274,float32,Numerical,76.73,6391,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V275,float32,Numerical,76.73,5950,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V276,float32,Numerical,76.73,1803,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V277,float32,Numerical,76.73,2029,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V278,float32,Numerical,76.73,1921,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V279,float32,Numerical,0.0,59,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V280,float32,Numerical,0.0,179,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V281,float32,Numerical,0.2,23,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V282,float32,Numerical,0.2,33,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V283,float32,Numerical,0.2,52,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V284,float32,Numerical,0.0,13,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V285,float32,Numerical,0.0,96,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V286,float32,Numerical,0.0,9,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V287,float32,Numerical,0.0,32,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V288,float32,Numerical,0.2,11,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V289,float32,Numerical,0.2,13,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V290,float32,Numerical,0.0,58,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V291,float32,Numerical,0.0,177,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V292,float32,Numerical,0.0,133,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V293,float32,Numerical,0.0,60,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V294,float32,Numerical,0.0,259,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V295,float32,Numerical,0.0,172,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V296,float32,Numerical,0.2,60,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V297,float32,Numerical,0.0,13,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V298,float32,Numerical,0.0,44,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V299,float32,Numerical,0.0,27,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V300,float32,Numerical,0.2,12,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V301,float32,Numerical,0.2,12,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V302,float32,Numerical,0.0,11,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V303,float32,Numerical,0.0,17,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V304,float32,Numerical,0.0,12,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V305,float32,Numerical,0.0,2,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V306,float32,Numerical,0.0,12610,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V307,float32,Numerical,0.0,30771,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V308,float32,Numerical,0.0,18380,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V309,float32,Numerical,0.0,3672,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V310,float32,Numerical,0.0,16697,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V311,float32,Numerical,0.0,2664,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V312,float32,Numerical,0.0,6999,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V313,float32,Numerical,0.2,4691,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V314,float32,Numerical,0.2,9907,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V315,float32,Numerical,0.2,5969,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V316,float32,Numerical,0.0,7135,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V317,float32,Numerical,0.0,11709,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V318,float32,Numerical,0.0,9269,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V319,float32,Numerical,0.0,3992,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V320,float32,Numerical,0.0,5362,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V321,float32,Numerical,0.0,4588,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V322,float32,Numerical,85.18,33,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V323,float32,Numerical,85.18,50,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V324,float32,Numerical,85.18,34,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V325,float32,Numerical,85.18,13,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V326,float32,Numerical,85.18,45,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V327,float32,Numerical,85.18,19,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V328,float32,Numerical,85.18,16,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V329,float32,Numerical,85.18,25,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V330,float32,Numerical,85.18,16,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V331,float32,Numerical,85.18,376,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V332,float32,Numerical,85.18,948,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V333,float32,Numerical,85.18,598,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V334,float32,Numerical,85.18,126,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V335,float32,Numerical,85.18,586,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V336,float32,Numerical,85.18,313,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V337,float32,Numerical,85.18,163,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V338,float32,Numerical,85.18,231,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
V339,float32,Numerical,85.18,192,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_01,float32,Numerical,74.5,71,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_02,float32,Numerical,75.09,99487,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_03,float32,Numerical,88.55,24,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_04,float32,Numerical,88.55,15,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_05,float32,Numerical,75.77,90,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_06,float32,Numerical,75.77,100,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_07,float32,Numerical,99.1,82,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_08,float32,Numerical,99.1,93,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_09,float32,Numerical,86.96,43,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_10,float32,Numerical,86.96,59,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_11,float32,Numerical,75.07,349,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_12,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_13,float32,Numerical,77.74,52,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_14,float32,Numerical,85.56,25,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_15,int32,Categorical,0.0,4,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_16,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_17,float32,Numerical,75.3,102,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_18,float32,Numerical,92.08,18,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_19,float32,Numerical,75.31,510,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_20,float32,Numerical,75.31,380,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_21,float32,Numerical,99.1,444,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_22,float32,Numerical,99.1,23,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_23,int32,Categorical,0.0,4,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_24,float32,Numerical,99.17,11,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_25,float32,Numerical,99.1,317,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_26,float32,Numerical,99.1,89,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_27,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_28,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_29,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_30,int32,Categorical,0.0,73,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_31,int32,Categorical,0.0,111,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_32,float32,Numerical,86.01,4,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
id_33,int32,Categorical,0.0,213,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_34,int32,Categorical,0.0,5,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_35,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_36,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_37,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
id_38,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
DeviceType,int32,Categorical,0.0,3,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
DeviceInfo,int32,Categorical,0.0,1640,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
TransactionHour,uint8,Numerical,0.0,24,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
TransactionDay,uint8,Numerical,0.0,141,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
TransactionWeek,uint8,Numerical,0.0,21,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
has_identity,uint8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
dist1_isna,uint8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
dist2_isna,uint8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
D2_isna,uint8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
P_emaildomain_isna,uint8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
R_emaildomain_isna,uint8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
id_01_isna,uint8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
id_31_isna,uint8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
TransactionAmt_log,float32,TransformedAmount,0.0,18131,TransactionAmt,log1p,ModelFeature,Normalizes heavy right-skewed monetary values
TransactionAmt_decimal,float32,Numerical,0.0,1073,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
TransactionAmt_is_round,int8,Numerical,0.0,2,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
TransactionHour_sin,float32,CyclicalTime,0.0,14,TransactionHour,Trigonometric harmonic transformation,ModelFeature,Encodes diurnal periodicity continuously
TransactionHour_cos,float32,CyclicalTime,0.0,14,TransactionHour,Trigonometric harmonic transformation,ModelFeature,Encodes diurnal periodicity continuously
device_info_available,int8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
os_info_available,int8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
browser_info_available,int8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
card1_card2,int32,Categorical,0.0,12685,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
card1_card3,int32,Categorical,0.0,12741,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
card1_card5,int32,Categorical,0.0,12828,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
card4_card6,int32,Categorical,0.0,12,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
email_both_provided,int8,Numerical,0.0,2,Raw,Downcasted float32/int32,ModelFeature,Direct numerical feature
email_domain_match,int8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
addr1_addr2,int32,Categorical,0.0,421,Raw/Interaction,Ordinal integer encoding with -1 for null,ModelFeature,Native categorical feature for gradient boosting trees
addr1_isna,int8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
addr2_isna,int8,BinaryIndicator,0.0,2,Multiple,Boolean missingness / presence flag,ModelFeature,High-signal structural presence/evasion pattern
card1_frequency,float32,FrequencyEncoding,0.0,477,card1,Training-split relative frequency count,ModelFeature,Captures category rarity without cardinality expansion
card1_card2_frequency,float32,FrequencyEncoding,0.0,463,card1_card2,Training-split relative frequency count,ModelFeature,Captures category rarity without cardinality expansion
addr1_frequency,float32,FrequencyEncoding,0.0,97,addr1,Training-split relative frequency count,ModelFeature,Captures category rarity without cardinality expansion
P_emaildomain_frequency,float32,FrequencyEncoding,0.0,57,P_emaildomain,Training-split relative frequency count,ModelFeature,Captures category rarity without cardinality expansion
